iterations,best,worst,avg
621,22028.0,28699.0,22304.768
622,22028.0,29291.0,22284.336
623,22028.0,28884.0,22316.528
624,22028.0,29646.0,22408.328
625,22028.0,28352.0,22292.866
626,22028.0,29292.0,22288.926
627,22028.0,29314.0,22323.252
628,22028.0,29560.0,22277.184
629,22028.0,29010.0,22238.706
630,22028.0,28805.0,22311.234
631,22028.0,28838.0,22339.762
632,22028.0,29420.0,22280.43
633,22028.0,29369.0,22378.07
634,22028.0,27737.0,22249.084
635,22028.0,28476.0,22290.756
636,22028.0,29119.0,22328.208
637,22028.0,29134.0,22272.566
638,22028.0,28699.0,22239.792
639,22028.0,29196.0,22345.048
640,22028.0,28182.0,22206.686
641,22028.0,28772.0,22392.992
642,22028.0,29541.0,22298.538
643,22028.0,28625.0,22333.818
644,22028.0,29188.0,22392.302
645,22028.0,29779.0,22302.82
646,22028.0,28679.0,22344.384
647,22028.0,29008.0,22295.498
648,22028.0,29084.0,22304.344
649,22028.0,28181.0,22313.268
650,22028.0,29076.0,22224.318
651,22028.0,29286.0,22360.424
652,22028.0,28076.0,22307.344
653,22028.0,28440.0,22227.346
654,22028.0,29420.0,22299.182
655,22028.0,29405.0,22286.098
656,22028.0,29287.0,22288.468
657,22028.0,28184.0,22230.742
658,22028.0,28842.0,22298.402
659,22028.0,28188.0,22309.518
660,22028.0,28840.0,22349.784
661,22028.0,29083.0,22314.812
662,22028.0,29089.0,22305.184
663,22028.0,28270.0,22372.322
664,22028.0,29089.0,22262.888
665,22028.0,28592.0,22251.632
666,22028.0,29541.0,22327.854
667,22028.0,29156.0,22276.658
668,22028.0,29127.0,22316.514
669,22028.0,28940.0,22267.908
670,22028.0,29525.0,22290.606
671,22028.0,29095.0,22286.03
672,22028.0,28667.0,22276.098
673,22028.0,29779.0,22274.8
674,22028.0,29292.0,22354.81
675,22028.0,29158.0,22313.594
676,22028.0,29618.0,22308.364
677,22028.0,29418.0,22259.198
678,22028.0,28668.0,22346.362
679,22028.0,29073.0,22332.002
680,22028.0,29441.0,22350.506
681,22028.0,29142.0,22241.802
682,22028.0,29468.0,22304.44
683,22028.0,28592.0,22361.946
684,22028.0,28472.0,22346.126
685,22028.0,29472.0,22323.328
686,22028.0,29444.0,22293.782
687,22028.0,28783.0,22291.468
688,22028.0,27868.0,22214.508
689,22028.0,28840.0,22389.906
690,22028.0,29663.0,22323.816
691,22028.0,29229.0,22247.86
692,22028.0,28911.0,22247.018
693,22028.0,29255.0,22296.116
694,22028.0,29369.0,22300.248
695,22028.0,28908.0,22255.208
696,22028.0,29152.0,22265.196
697,22028.0,29229.0,22335.426
698,22028.0,29256.0,22314.07
699,22028.0,29077.0,22292.58
700,22028.0,29327.0,22318.274
701,22028.0,29134.0,22359.37
702,22028.0,29663.0,22349.934
703,22028.0,29170.0,22334.974
704,22028.0,27753.0,22261.094
705,22028.0,28709.0,22233.894
706,22028.0,29414.0,22270.23
707,22028.0,29281.0,22349.48
708,22028.0,28081.0,22309.674
709,22028.0,29076.0,22352.986
710,22028.0,28787.0,22433.47
711,22028.0,29000.0,22416.72
712,22028.0,29618.0,22318.918
713,22028.0,29127.0,22307.844
714,22028.0,28838.0,22475.35
715,22028.0,29027.0,22316.83
716,22028.0,28634.0,22255.522
717,22028.0,28624.0,22328.866
718,22028.0,28182.0,22289.592
719,22028.0,29014.0,22318.748
720,22028.0,29472.0,22256.778
721,22028.0,29380.0,22395.714
722,22028.0,29287.0,22290.182
723,22028.0,28088.0,22291.192
724,22028.0,29099.0,22251.648
725,22028.0,28779.0,22302.284
726,22028.0,29188.0,22267.908
727,22028.0,28926.0,22312.262
728,22028.0,28516.0,22294.576
729,22028.0,29322.0,22336.742
730,22028.0,29275.0,22230.432
731,22028.0,29286.0,22312.15
732,22028.0,29672.0,22293.35
733,22028.0,27952.0,22263.632
734,22028.0,29327.0,22226.38
735,22028.0,27465.0,22244.064
736,22028.0,27923.0,22264.692
737,22028.0,29572.0,22296.828
738,22028.0,28741.0,22321.632
739,22028.0,29560.0,22258.71
740,22028.0,29127.0,22346.388
741,22028.0,27787.0,22238.086
742,22028.0,28808.0,22341.92
743,22028.0,29170.0,22375.478
744,22028.0,29528.0,22304.274
745,22028.0,29196.0,22351.762
746,22028.0,28607.0,22311.668
747,22028.0,28476.0,22286.708
748,22028.0,29099.0,22264.932
749,22028.0,29489.0,22267.33
750,22028.0,29405.0,22276.552
751,22028.0,29618.0,22272.874
752,22028.0,28699.0,22282.176
753,22028.0,29178.0,22248.088
754,22028.0,28532.0,22302.244
755,22028.0,28711.0,22317.162
756,22028.0,29380.0,22336.65
757,22028.0,28842.0,22344.888
758,22028.0,27133.0,22246.282
759,22028.0,28493.0,22300.72
760,22028.0,28158.0,22313.872
761,22028.0,28942.0,22310.368
762,22028.0,28704.0,22280.684
763,22028.0,29327.0,22279.79
764,22028.0,28027.0,22303.96
765,22028.0,29046.0,22299.578
766,22028.0,29322.0,22341.126
767,22028.0,29015.0,22304.24
768,22028.0,29565.0,22316.902
769,22028.0,28816.0,22281.566
770,22028.0,29314.0,22268.49
771,22028.0,28819.0,22283.218
772,22028.0,29445.0,22320.386
773,22028.0,29196.0,22309.076
774,22028.0,29369.0,22245.174
775,22028.0,28822.0,22254.192
776,22028.0,27528.0,22285.824
777,22028.0,29144.0,22307.458
778,22028.0,29313.0,22235.562
779,22028.0,28888.0,22232.874
780,22028.0,29646.0,22259.282
781,22028.0,28120.0,22315.284
782,22028.0,28834.0,22276.31
783,22028.0,29694.0,22285.756
784,22028.0,29750.0,22395.532
785,22028.0,28908.0,22284.472
786,22028.0,29158.0,22284.046
787,22028.0,29021.0,22340.932
788,22028.0,29039.0,22349.358
789,22028.0,29646.0,22342.712
790,22028.0,28954.0,22248.69
791,22028.0,28389.0,22281.07
792,22028.0,28532.0,22270.884
793,22028.0,29143.0,22363.958
794,22028.0,29322.0,22349.92
795,22028.0,28800.0,22257.482
796,22028.0,28634.0,22383.064
797,22028.0,29040.0,22316.926
798,22028.0,29560.0,22321.68
799,22028.0,28807.0,22301.32
800,22028.0,27889.0,22230.436
801,22028.0,29779.0,22352.994
802,22028.0,29095.0,22293.164
803,22028.0,29066.0,22310.838
804,22028.0,28271.0,22285.896
805,22028.0,29327.0,22367.816
806,22028.0,29663.0,22306.392
807,22028.0,29618.0,22346.16
808,22028.0,28780.0,22316.038
809,22028.0,29779.0,22379.416
810,22028.0,29663.0,22289.02
811,22028.0,29543.0,22354.086
812,22028.0,28954.0,22348.944
813,22028.0,29468.0,22327.744
814,22028.0,29158.0,22228.722
815,22028.0,29694.0,22347.742
816,22028.0,29414.0,22249.048
817,22028.0,28722.0,22207.676
818,22028.0,29414.0,22326.978
819,22028.0,29445.0,22309.384
820,22028.0,29196.0,22407.55
